Year,League,Franchise,Rank,Gamesplayed,Gamesplayedathome,Wins,Losses,DivisionWinner,WildCardWinner,LeagueChampion,WorldSeriesWinner,RunsScored,Atbats,Hitsbybatters,Doubles,Triples,Homerunsbybatters,Walksbybatters,Strikeoutsbybatters,Stolenbases,Caughtstealing,Battershitbypitch,Sacrificeflies,Opponentsrunsscored,Earnedrunsallowed,Earnedrunaverage,Completegames,Shutouts,Saves,Outspitched,Hitsallowed,Homerunsallowed,Walksallowed,Strikeoutsbypitchers,Errors,Doubleplays,Fieldingpercentage,Homeattendancetotal,Battersparkfactor,Pitchersparkfactor
1999,NL,CIN,2,163,82,96,67,0,0,0,0,865,5649,1536,312,37,209,569,1125,164,54,45,44,711,647,3.98,6,11,55,4386,1309,190,636,1081,105,139,0.983,2061222,103,103
1999,NL,COL,5,162,81,72,90,0,0,0,0,906,5717,1644,305,39,223,508,863,70,43,43,46,1028,955,6.01,12,2,33,4287,1700,237,737,1032,118,189,0.981,3481065,127,127
1999,NL,FLA,5,162,80,64,98,0,0,0,0,691,5578,1465,266,44,128,479,1145,92,46,59,56,852,781,4.9,6,5,33,4307,1560,171,655,943,127,150,0.979,1369421,93,95
1999,NL,HOU,1,162,82,97,65,1,0,0,0,823,5485,1463,293,23,168,728,1138,166,75,52,58,675,620,3.83,12,8,48,4376,1485,128,478,1204,106,175,0.983,2706017,100,98
1999,NL,LAD,3,162,81,77,85,0,0,0,0,793,5567,1480,253,23,187,594,1030,167,68,52,51,787,718,4.45,8,6,37,4359,1438,192,594,1077,137,137,0.978,3095346,95,94
1999,NL,MIL,5,161,80,74,87,0,0,0,0,815,5582,1524,299,30,165,658,1065,81,33,55,51,886,813,5.07,2,5,40,4328,1618,213,616,987,127,146,0.979,1701796,99,99
1999,NL,WSN,4,162,81,68,94,0,0,0,0,718,5559,1473,320,47,163,438,939,70,51,53,28,853,748,4.69,6,4,44,4303,1505,152,572,1043,160,125,0.974,773277,97,98
1999,NL,NYM,2,163,81,97,66,0,1,0,0,853,5572,1553,297,14,181,717,994,150,61,48,54,711,691,4.27,5,7,49,4370,1372,167,617,1172,68,147,0.989,2725668,98,97
1999,NL,PHI,3,162,81,77,85,0,0,0,0,841,5598,1539,302,44,161,631,1081,125,35,46,41,846,787,4.92,11,6,32,4315,1494,212,627,1030,100,144,0.983,1825337,105,105
1999,NL,PIT,3,161,81,78,83,0,0,0,0,775,5468,1417,282,40,171,573,1197,112,44,60,45,782,689,4.33,8,3,34,4300,1444,160,633,1083,147,179,0.976,1638023,101,101
1999,NL,SDP,4,162,81,74,88,0,0,0,0,710,5394,1360,256,22,153,631,1169,174,67,35,40,781,705,4.47,5,6,43,4261,1454,193,529,1078,129,151,0.979,2523538,92,92
1999,NL,SFG,2,162,81,86,76,0,0,0,0,872,5563,1507,307,18,188,696,1028,109,56,60,42,831,762,4.71,6,3,42,4369,1486,194,655,1076,105,155,0.983,2078399,95,94
1999,NL,STL,4,161,80,75,86,0,0,0,0,809,5570,1461,274,27,194,613,1202,134,48,51,44,838,761,4.74,5,3,38,4336,1519,161,667,1025,132,163,0.978,3225334,101,101
2000,AL,ANA,3,162,81,82,80,0,0,0,0,864,5628,1574,309,34,236,608,1024,93,52,47,43,869,805,5,5,3,46,4344,1534,228,662,846,134,182,0.978,2066982,102,103
2000,AL,BAL,4,162,81,74,88,0,0,0,0,794,5549,1508,310,22,184,558,900,126,65,49,54,913,855,5.37,14,6,33,4300,1547,202,665,1017,116,151,0.981,3297031,95,96
2000,AL,BOS,2,162,81,85,77,0,0,0,0,792,5630,1503,316,32,167,611,1019,43,30,42,48,745,683,4.23,7,12,46,4358,1433,173,498,1121,109,120,0.982,2585895,104,103
2000,AL,CHW,1,162,81,95,67,1,0,0,0,978,5646,1615,325,33,216,591,960,119,42,53,61,839,751,4.66,5,7,43,4351,1509,195,614,1037,133,190,0.978,1947799,102,102
2000,AL,CLE,2,162,81,90,72,0,0,0,0,950,5683,1639,310,30,221,685,1057,113,34,51,52,816,775,4.84,6,5,34,4327,1511,173,666,1213,72,147,0.988,3456278,101,100
2000,AL,DET,3,162,81,79,83,0,0,0,0,823,5644,1553,307,41,177,562,982,83,38,43,49,827,755,4.71,6,6,44,4330,1583,177,496,978,105,171,0.983,2438617,95,95
2000,AL,KCR,4,162,81,77,85,0,0,0,0,879,5709,1644,281,27,150,511,840,121,35,48,70,930,876,5.48,10,6,29,4318,1585,239,693,927,102,185,0.983,1564847,103,103
2000,AL,MIN,5,162,81,69,93,0,0,0,0,748,5615,1516,325,49,116,556,1021,90,45,35,51,880,819,5.14,6,4,35,4298,1634,212,516,1042,102,155,0.983,1000760,104,105
2000,AL,NYY,1,161,80,87,74,1,0,1,1,871,5556,1541,294,25,205,631,1007,99,48,57,50,814,753,4.76,9,6,40,4273,1458,177,577,1040,109,132,0.981,3055435,99,98
2000,AL,OAK,1,161,81,91,70,1,0,0,0,947,5560,1501,281,23,239,750,1159,40,15,52,44,813,730,4.58,7,11,43,4306,1535,158,615,963,134,164,0.978,1603744,96,95
2000,AL,SEA,2,162,81,91,71,0,1,0,0,907,5497,1481,300,26,198,775,1073,122,56,48,61,780,720,4.49,4,10,44,4325,1442,167,634,998,99,176,0.984,2914624,95,93
2000,AL,TBD,5,161,80,69,92,0,0,0,0,733,5505,1414,253,22,162,558,1022,90,46,51,40,842,773,4.86,10,8,38,4294,1553,198,533,955,118,169,0.981,1449673,99,100
2000,AL,TEX,4,162,81,71,91,0,0,0,0,848,5648,1601,330,35,173,580,922,69,47,39,48,974,876,5.52,3,4,39,4287,1683,202,661,918,135,162,0.978,2588401,102,102
2000,AL,TOR,3,162,81,83,79,0,0,0,0,861,5677,1562,328,21,244,526,1026,89,34,60,34,908,821,5.14,15,4,37,4312,1615,195,560,978,100,176,0.984,1705712,103,103
2000,NL,ARI,3,162,81,85,77,0,0,0,0,792,5527,1466,282,44,179,535,975,97,44,59,58,754,698,4.35,16,8,38,4331,1441,190,500,1220,107,138,0.982,2942251,105,103
2000,NL,ATL,1,162,81,95,67,1,0,0,0,810,5489,1490,274,26,179,595,1010,148,56,59,45,714,648,4.05,13,9,53,4321,1428,165,484,1093,129,138,0.979,3234304,101,99
